t (d),C (mg/L),C/C₀,Nº de vidas medias,Remoción (%)
0.0,20.0,1.0,0.0,0.0
5.0,14.142135623730951,0.7071067811865476,0.5,29.28932188134524
10.0,10.0,0.5,1.0,50.0
15.0,7.0710678118654755,0.3535533905932738,1.5,64.64466094067262
20.0,5.0,0.25,2.0,75.0
25.0,3.5355339059327386,0.17677669529663692,2.5,82.3223304703363
30.0,2.5000000000000004,0.12500000000000003,3.0,87.5
35.0,1.7677669529663689,0.08838834764831845,3.5,91.16116523516816
40.0,1.25,0.0625,4.0,93.75
45.0,0.8838834764831844,0.04419417382415922,4.5,95.58058261758407
50.0,0.6250000000000002,0.031250000000000014,5.0,96.875
55.0,0.4419417382415924,0.02209708691207962,5.5,97.79029130879205
60.0,0.3125000000000001,0.015625000000000007,6.0,98.4375
