Magnitud,Documento,Calculado,Dif. relativa (%),Verificación
C0 con W = 1000 g/d (mg/L),0.00086,0.0008573388203017832,-0.30943949979264534,✔
"Factor de pérdida e^(-k·TRH), TRH = 0.1 d",0.99,0.9900498337491681,0.00503371203718339,✔
Factor de pérdida con TRH del modelo,0.99,0.9895176837768468,-0.04871881041951523,✔
C0 con W = 648 g/d (mg/L),0.00056,0.0005555555555555556,-0.7936507936507851,✔
C0 con W = 1426 g/d (mg/L),0.00122,0.0012222222222222224,0.18214936247725155,✔
UT Daphnia,0.0088,0.00874835530920187,-0.586871486342392,✔
UT alga,0.0057,0.005715592135345221,0.2735462341266873,✔
PNEC (mg/L),0.0036,0.0036,0.0,✔
HQ (W = 1000 g/d),0.24,0.2381496723060509,-0.7709698724787823,✔
HQ máximo (W = 1426 g/d),0.34,0.3395061728395062,-0.14524328249818902,✔
