Escenario,Indicador,Valor
Control,C máx. en el tramo (mg/L),0.0
Perturbado,C media anual en Uchumayo (mg/L),0.0007563852898089823
Perturbado,C máx. horaria en Uchumayo (mg/L),0.001073697628777494
Perturbado,C máx. de la media diaria en Uchumayo (mg/L),0.0008471932859574254
Perturbado,Subestimación del pico por promedio diario (%),21.095729072063353
Perturbado,C máx. horaria en el primer segmento (mg/L),0.001090082635409439
Perturbado,P5 horario en Uchumayo (mg/L),0.00033493764715884447
Perturbado,P95 horario en Uchumayo (mg/L),0.0010661124829544097
Perturbado,HQ máx. horario,0.30280073205817754
Perturbado,Masa máx. en sedimento del tramo (g),0.806016614219124
